,bank_account,uniqueid
0,False,uniqueid6056
1,True,uniqueid6060
2,False,uniqueid6065
3,False,uniqueid6072
4,False,uniqueid6073
5,False,uniqueid6074
6,False,uniqueid6075
7,True,uniqueid6076
8,False,uniqueid6077
9,True,uniqueid6078
10,False,uniqueid6079
11,False,uniqueid6080
12,False,uniqueid6081
13,False,uniqueid6082
14,False,uniqueid6083
15,False,uniqueid6084
16,True,uniqueid6085
17,False,uniqueid6086
18,False,uniqueid6087
19,False,uniqueid6088
20,False,uniqueid6089
21,False,uniqueid6090
22,False,uniqueid6091
23,False,uniqueid6092
24,False,uniqueid6093
25,False,uniqueid6094
26,False,uniqueid6095
27,False,uniqueid6096
28,False,uniqueid6097
29,False,uniqueid6098
30,False,uniqueid6099
31,False,uniqueid6100
32,False,uniqueid6101
33,False,uniqueid6102
34,False,uniqueid6103
35,True,uniqueid6104
36,False,uniqueid6105
37,True,uniqueid6106
38,False,uniqueid6107
39,False,uniqueid6108
40,False,uniqueid6109
41,True,uniqueid6110
42,False,uniqueid6111
43,False,uniqueid6112
44,False,uniqueid6113
45,False,uniqueid6114
46,True,uniqueid6115
47,False,uniqueid6116
48,False,uniqueid6117
49,False,uniqueid6118
50,False,uniqueid6119
51,False,uniqueid6120
52,True,uniqueid6121
53,False,uniqueid6122
54,False,uniqueid6123
55,False,uniqueid6124
56,False,uniqueid6125
57,False,uniqueid6126
58,False,uniqueid6127
59,False,uniqueid6128
60,False,uniqueid6129
61,False,uniqueid6130
62,False,uniqueid6131
63,False,uniqueid6132
64,False,uniqueid6133
65,False,uniqueid6134
66,False,uniqueid6135
67,False,uniqueid6136
68,False,uniqueid6137
69,False,uniqueid6138
70,False,uniqueid6139
71,False,uniqueid6140
72,False,uniqueid6141
73,False,uniqueid6142
74,False,uniqueid6143
75,False,uniqueid6144
76,False,uniqueid6145
77,False,uniqueid6146
78,False,uniqueid6147
79,False,uniqueid6148
80,False,uniqueid6149
81,False,uniqueid6150
82,False,uniqueid6151
83,False,uniqueid6152
84,False,uniqueid6153
85,True,uniqueid6154
86,False,uniqueid6155
87,True,uniqueid6156
88,False,uniqueid6157
89,False,uniqueid6158
90,False,uniqueid6159
91,False,uniqueid6160
92,False,uniqueid6161
93,False,uniqueid6162
94,False,uniqueid6163
95,False,uniqueid6164
96,False,uniqueid6165
97,False,uniqueid6166
98,False,uniqueid6167
99,True,uniqueid6168
100,False,uniqueid6169
101,True,uniqueid6170
102,False,uniqueid6171
103,False,uniqueid6172
104,False,uniqueid6173
105,False,uniqueid6174
106,False,uniqueid6175
107,False,uniqueid6176
108,False,uniqueid6177
109,False,uniqueid6178
110,False,uniqueid6179
111,False,uniqueid6180
112,False,uniqueid6181
113,False,uniqueid6182
114,False,uniqueid6183
115,True,uniqueid6184
116,False,uniqueid6185
117,False,uniqueid6186
118,False,uniqueid6187
119,False,uniqueid6188
120,False,uniqueid6189
121,False,uniqueid6190
122,False,uniqueid6191
123,False,uniqueid6192
124,False,uniqueid6193
125,False,uniqueid6194
126,False,uniqueid6195
127,False,uniqueid6196
128,False,uniqueid6197
129,True,uniqueid6198
130,False,uniqueid6199
131,False,uniqueid6200
132,False,uniqueid6201
133,False,uniqueid6202
134,False,uniqueid6203
135,False,uniqueid6204
136,False,uniqueid6205
137,False,uniqueid6206
138,False,uniqueid6207
139,False,uniqueid6208
140,False,uniqueid6209
141,False,uniqueid6210
142,False,uniqueid6211
143,False,uniqueid6212
144,False,uniqueid6213
145,False,uniqueid6214
146,False,uniqueid6215
147,False,uniqueid6216
148,False,uniqueid6217
149,True,uniqueid6218
150,False,uniqueid6219
151,False,uniqueid6220
152,False,uniqueid6221
153,False,uniqueid6222
154,False,uniqueid6223
155,True,uniqueid6224
156,False,uniqueid6225
157,False,uniqueid6226
158,False,uniqueid6227
159,True,uniqueid6228
160,False,uniqueid6229
161,False,uniqueid6230
162,False,uniqueid6231
163,False,uniqueid6232
164,False,uniqueid6233
165,True,uniqueid6234
166,False,uniqueid6235
167,True,uniqueid6236
168,False,uniqueid6237
169,False,uniqueid6238
170,False,uniqueid6239
171,True,uniqueid6240
172,False,uniqueid6241
173,True,uniqueid6242
174,False,uniqueid6243
175,False,uniqueid6244
176,False,uniqueid6245
177,False,uniqueid6246
178,False,uniqueid6247
179,False,uniqueid6248
180,False,uniqueid6249
181,False,uniqueid6250
182,False,uniqueid6251
183,True,uniqueid6252
184,False,uniqueid6253
185,False,uniqueid6254
186,True,uniqueid6255
187,True,uniqueid6256
188,False,uniqueid6257
189,False,uniqueid6258
190,False,uniqueid6259
191,False,uniqueid6260
192,False,uniqueid6261
193,False,uniqueid6262
194,False,uniqueid6263
195,False,uniqueid6264
196,False,uniqueid6265
197,False,uniqueid6266
198,True,uniqueid6267
199,False,uniqueid6268
200,False,uniqueid6269
201,False,uniqueid6270
202,False,uniqueid6271
203,False,uniqueid6272
204,False,uniqueid6273
205,False,uniqueid6274
206,False,uniqueid6275
207,False,uniqueid6276
208,False,uniqueid6277
209,False,uniqueid6278
210,False,uniqueid6279
211,False,uniqueid6280
212,False,uniqueid6281
213,False,uniqueid6282
214,False,uniqueid6283
215,False,uniqueid6284
216,False,uniqueid6285
217,False,uniqueid6286
218,False,uniqueid6287
219,False,uniqueid6288
220,False,uniqueid6289
221,False,uniqueid6290
222,False,uniqueid6291
223,False,uniqueid6292
224,False,uniqueid6293
225,False,uniqueid6294
226,True,uniqueid6295
227,False,uniqueid6296
228,False,uniqueid6297
229,True,uniqueid6298
230,False,uniqueid6299
231,False,uniqueid6300
232,False,uniqueid6301
233,False,uniqueid6302
234,False,uniqueid6303
235,False,uniqueid6304
236,True,uniqueid6305
237,True,uniqueid6306
238,False,uniqueid6307
239,False,uniqueid6308
240,False,uniqueid6309
241,False,uniqueid6310
242,True,uniqueid6311
243,False,uniqueid6312
244,False,uniqueid6313
245,False,uniqueid6314
246,False,uniqueid6315
247,True,uniqueid6316
248,False,uniqueid6317
249,False,uniqueid6318
250,True,uniqueid6319
251,False,uniqueid6320
252,False,uniqueid6321
253,False,uniqueid6322
254,False,uniqueid6323
255,False,uniqueid6324
256,False,uniqueid6325
257,True,uniqueid6326
258,True,uniqueid6327
259,True,uniqueid6328
260,False,uniqueid6329
261,False,uniqueid6330
262,False,uniqueid6331
263,False,uniqueid6332
264,False,uniqueid6333
265,False,uniqueid6334
266,False,uniqueid6335
267,False,uniqueid6336
268,False,uniqueid6337
269,False,uniqueid6338
270,True,uniqueid6339
271,False,uniqueid6340
272,True,uniqueid6341
273,False,uniqueid6342
274,False,uniqueid6343
275,False,uniqueid6344
276,False,uniqueid6345
277,False,uniqueid6346
278,False,uniqueid6347
279,False,uniqueid6348
280,False,uniqueid6349
281,False,uniqueid6350
282,False,uniqueid6351
283,False,uniqueid6352
284,False,uniqueid6353
285,False,uniqueid6354
286,False,uniqueid6355
287,False,uniqueid6356
288,False,uniqueid6357
289,False,uniqueid6358
290,False,uniqueid6359
291,True,uniqueid6360
292,False,uniqueid6361
293,False,uniqueid6362
294,False,uniqueid6363
295,True,uniqueid6364
296,False,uniqueid6365
297,False,uniqueid6366
298,True,uniqueid6367
299,False,uniqueid6368
300,False,uniqueid6369
301,False,uniqueid6370
302,False,uniqueid6371
303,False,uniqueid6372
304,False,uniqueid6373
305,True,uniqueid6374
306,False,uniqueid6375
307,False,uniqueid6376
308,False,uniqueid6377
309,False,uniqueid6378
310,False,uniqueid6379
311,False,uniqueid6380
312,True,uniqueid6381
313,False,uniqueid6382
314,False,uniqueid6383
315,False,uniqueid6384
316,True,uniqueid6385
317,False,uniqueid6386
318,False,uniqueid6387
319,False,uniqueid6388
320,False,uniqueid6389
321,False,uniqueid6390
322,False,uniqueid6391
323,False,uniqueid6392
324,False,uniqueid6393
325,False,uniqueid6394
326,False,uniqueid6395
327,False,uniqueid6396
328,False,uniqueid6397
329,False,uniqueid6398
330,False,uniqueid6399
331,False,uniqueid6400
332,False,uniqueid6401
333,False,uniqueid6402
334,False,uniqueid6403
335,False,uniqueid6404
336,False,uniqueid6405
337,False,uniqueid6406
338,True,uniqueid6407
339,False,uniqueid6408
340,False,uniqueid6409
341,False,uniqueid6410
342,False,uniqueid6411
343,False,uniqueid6412
344,False,uniqueid6413
345,False,uniqueid6414
346,True,uniqueid6415
347,False,uniqueid6416
348,False,uniqueid6417
349,True,uniqueid6418
350,False,uniqueid6419
351,False,uniqueid6420
352,False,uniqueid6421
353,False,uniqueid6422
354,False,uniqueid6423
355,False,uniqueid6424
356,False,uniqueid6425
357,False,uniqueid6426
358,False,uniqueid6427
359,False,uniqueid6428
360,False,uniqueid6429
361,False,uniqueid6430
362,False,uniqueid6431
363,False,uniqueid6432
364,False,uniqueid6433
365,False,uniqueid6434
366,False,uniqueid6435
367,False,uniqueid6436
368,False,uniqueid6437
369,False,uniqueid6438
370,False,uniqueid6439
371,False,uniqueid6440
372,False,uniqueid6441
373,False,uniqueid6442
374,False,uniqueid6443
375,True,uniqueid6444
376,False,uniqueid6445
377,False,uniqueid6446
378,False,uniqueid6447
379,False,uniqueid6448
380,False,uniqueid6449
381,False,uniqueid6450
382,False,uniqueid6451
383,False,uniqueid6452
384,False,uniqueid6453
385,False,uniqueid6454
386,False,uniqueid6455
387,False,uniqueid6456
388,True,uniqueid6457
389,False,uniqueid6458
390,False,uniqueid6459
391,True,uniqueid6460
392,False,uniqueid6461
393,False,uniqueid6462
394,False,uniqueid6463
395,False,uniqueid6464
396,False,uniqueid6465
397,True,uniqueid6466
398,False,uniqueid6467
399,True,uniqueid6468
400,False,uniqueid6469
401,False,uniqueid6470
402,False,uniqueid6471
403,False,uniqueid6472
404,False,uniqueid6473
405,True,uniqueid6474
406,False,uniqueid6475
407,False,uniqueid6476
408,False,uniqueid6477
409,False,uniqueid6478
410,False,uniqueid6479
411,False,uniqueid6480
412,False,uniqueid6481
413,False,uniqueid6482
414,False,uniqueid6483
415,False,uniqueid6484
416,False,uniqueid6485
417,True,uniqueid6486
418,True,uniqueid6487
419,False,uniqueid6488
420,True,uniqueid6489
421,False,uniqueid6490
422,False,uniqueid6491
423,False,uniqueid6492
424,False,uniqueid6493
425,False,uniqueid6494
426,False,uniqueid6495
427,True,uniqueid6496
428,False,uniqueid6497
429,False,uniqueid6498
430,False,uniqueid6499
431,False,uniqueid6500
432,False,uniqueid6501
433,False,uniqueid6502
434,True,uniqueid6503
435,False,uniqueid6504
436,False,uniqueid6505
437,False,uniqueid6506
438,True,uniqueid6507
439,False,uniqueid6508
440,True,uniqueid6509
441,True,uniqueid6510
442,False,uniqueid6511
443,False,uniqueid6512
444,False,uniqueid6513
445,True,uniqueid6514
446,False,uniqueid6515
447,True,uniqueid6516
448,False,uniqueid6517
449,False,uniqueid6518
450,False,uniqueid6519
451,False,uniqueid6520
452,False,uniqueid6521
453,False,uniqueid6522
454,False,uniqueid6523
455,True,uniqueid6524
456,True,uniqueid6525
457,False,uniqueid6526
458,False,uniqueid6527
459,False,uniqueid6528
460,False,uniqueid6529
461,False,uniqueid6530
462,False,uniqueid6531
463,False,uniqueid6532
464,False,uniqueid6533
465,False,uniqueid6534
466,False,uniqueid6535
467,False,uniqueid6536
468,False,uniqueid6537
469,False,uniqueid6538
470,False,uniqueid6539
471,False,uniqueid6540
472,False,uniqueid6541
473,False,uniqueid6542
474,True,uniqueid6543
475,True,uniqueid6544
476,False,uniqueid6545
477,True,uniqueid6546
478,False,uniqueid6547
479,False,uniqueid6548
480,False,uniqueid6549
481,False,uniqueid6550
482,False,uniqueid6551
483,False,uniqueid6552
484,False,uniqueid6553
485,False,uniqueid6554
486,False,uniqueid6555
487,False,uniqueid6556
488,False,uniqueid6557
489,False,uniqueid6558
490,False,uniqueid6559
491,True,uniqueid6560
492,False,uniqueid6561
493,False,uniqueid6562
494,False,uniqueid6563
495,True,uniqueid6564
496,False,uniqueid6565
497,False,uniqueid6566
498,False,uniqueid6567
499,False,uniqueid6568
500,False,uniqueid6569
501,False,uniqueid6570
502,False,uniqueid6571
503,False,uniqueid6572
504,False,uniqueid6573
505,True,uniqueid6574
506,False,uniqueid6575
507,False,uniqueid6576
508,False,uniqueid6577
509,False,uniqueid6578
510,False,uniqueid6579
511,False,uniqueid6580
512,False,uniqueid6581
513,False,uniqueid6582
514,False,uniqueid6583
515,False,uniqueid6584
516,False,uniqueid6585
517,False,uniqueid6586
518,False,uniqueid6587
519,False,uniqueid6588
520,True,uniqueid6589
521,False,uniqueid6590
522,False,uniqueid6591
523,False,uniqueid6592
524,False,uniqueid6593
525,False,uniqueid6594
526,True,uniqueid6595
527,False,uniqueid6596
528,False,uniqueid6597
529,False,uniqueid6598
530,False,uniqueid6599
531,False,uniqueid6600
532,False,uniqueid6601
533,False,uniqueid6602
534,False,uniqueid6603
535,False,uniqueid6604
536,False,uniqueid6605
537,False,uniqueid6606
538,False,uniqueid6607
539,False,uniqueid6608
540,False,uniqueid6609
541,False,uniqueid6610
542,False,uniqueid6611
543,True,uniqueid6612
544,False,uniqueid6613
545,True,uniqueid6614
546,False,uniqueid6615
547,False,uniqueid6616
548,False,uniqueid6617
549,False,uniqueid6618
550,False,uniqueid6619
551,False,uniqueid6620
552,False,uniqueid6621
553,False,uniqueid6622
554,False,uniqueid6623
555,False,uniqueid6624
556,False,uniqueid6625
557,False,uniqueid6626
558,True,uniqueid6627
559,True,uniqueid6628
560,False,uniqueid6629
561,False,uniqueid6630
562,False,uniqueid6631
563,True,uniqueid6632
564,True,uniqueid6633
565,False,uniqueid6634
566,False,uniqueid6635
567,False,uniqueid6636
568,False,uniqueid6637
569,False,uniqueid6638
570,False,uniqueid6639
571,False,uniqueid6640
572,True,uniqueid6641
573,False,uniqueid6642
574,False,uniqueid6643
575,False,uniqueid6644
576,False,uniqueid6645
577,False,uniqueid6646
578,False,uniqueid6647
579,False,uniqueid6648
580,False,uniqueid6649
581,False,uniqueid6650
582,False,uniqueid6651
583,False,uniqueid6652
584,False,uniqueid6653
585,False,uniqueid6654
586,False,uniqueid6655
587,False,uniqueid6656
588,False,uniqueid6657
589,False,uniqueid6658
590,False,uniqueid6659
591,False,uniqueid6660
592,False,uniqueid6661
593,False,uniqueid6662
594,False,uniqueid6663
595,True,uniqueid6664
596,False,uniqueid6665
597,False,uniqueid6666
598,False,uniqueid6667
599,False,uniqueid6668
600,False,uniqueid6669
601,False,uniqueid6670
602,False,uniqueid6671
603,False,uniqueid6672
604,False,uniqueid6673
605,False,uniqueid6674
606,True,uniqueid6675
607,True,uniqueid6676
608,False,uniqueid6677
609,False,uniqueid6678
610,False,uniqueid6679
611,True,uniqueid6680
612,False,uniqueid6681
613,False,uniqueid6682
614,False,uniqueid6683
615,True,uniqueid6684
616,False,uniqueid6685
617,False,uniqueid6686
618,False,uniqueid6687
619,True,uniqueid6688
620,False,uniqueid6689
621,False,uniqueid6690
622,False,uniqueid6691
623,False,uniqueid6692
624,True,uniqueid6693
625,False,uniqueid6694
626,False,uniqueid6695
627,False,uniqueid6696
628,False,uniqueid6697
629,False,uniqueid6698
630,False,uniqueid6699
631,False,uniqueid6700
632,False,uniqueid6701
633,False,uniqueid6702
634,False,uniqueid6703
635,False,uniqueid6704
636,True,uniqueid6705
637,True,uniqueid6706
638,True,uniqueid6707
639,False,uniqueid6708
640,False,uniqueid6709
641,False,uniqueid6710
642,False,uniqueid6711
643,False,uniqueid6712
644,False,uniqueid6713
645,False,uniqueid6714
646,False,uniqueid6715
647,False,uniqueid6716
648,False,uniqueid6717
649,False,uniqueid6718
650,False,uniqueid6719
651,False,uniqueid6720
652,False,uniqueid6721
653,False,uniqueid6722
654,False,uniqueid6723
655,False,uniqueid6724
656,False,uniqueid6725
657,False,uniqueid6726
658,True,uniqueid6727
659,False,uniqueid6728
660,True,uniqueid6729
661,False,uniqueid6730
662,False,uniqueid6731
663,True,uniqueid6732
664,False,uniqueid6733
665,False,uniqueid6734
666,False,uniqueid6735
667,False,uniqueid6736
668,False,uniqueid6737
669,True,uniqueid6738
670,False,uniqueid6739
671,False,uniqueid6740
672,True,uniqueid6741
673,False,uniqueid6742
674,False,uniqueid6743
675,False,uniqueid6744
676,False,uniqueid6745
677,True,uniqueid6746
678,False,uniqueid6747
679,True,uniqueid6748
680,False,uniqueid6749
681,False,uniqueid6750
682,False,uniqueid6751
683,True,uniqueid6752
684,False,uniqueid6753
685,True,uniqueid6754
686,False,uniqueid6755
687,False,uniqueid6756
688,True,uniqueid6757
689,False,uniqueid6758
690,False,uniqueid6759
691,False,uniqueid6760
692,False,uniqueid6761
693,False,uniqueid6762
694,False,uniqueid6763
695,True,uniqueid6764
696,False,uniqueid6765
697,False,uniqueid6766
698,False,uniqueid6767
699,False,uniqueid6768
700,False,uniqueid6769
701,False,uniqueid6770
702,True,uniqueid6771
703,False,uniqueid6772
704,True,uniqueid6773
705,True,uniqueid6774
706,False,uniqueid6775
707,False,uniqueid6776
708,False,uniqueid6777
709,True,uniqueid6778
710,False,uniqueid6779
711,True,uniqueid6780
712,False,uniqueid6781
713,False,uniqueid6782
714,False,uniqueid6783
715,True,uniqueid6784
716,False,uniqueid6785
717,True,uniqueid6786
718,False,uniqueid6787
719,False,uniqueid6788
720,False,uniqueid6789
721,True,uniqueid6790
722,False,uniqueid6791
723,True,uniqueid6792
724,False,uniqueid6793
725,False,uniqueid6794
726,True,uniqueid6795
727,False,uniqueid6796
728,False,uniqueid6797
729,False,uniqueid6798
730,False,uniqueid6799
731,False,uniqueid6800
732,False,uniqueid6801
733,False,uniqueid6802
734,True,uniqueid6803
735,False,uniqueid6804
736,False,uniqueid6805
737,True,uniqueid6806
738,False,uniqueid6807
739,False,uniqueid6808
740,True,uniqueid6809
741,False,uniqueid6810
742,False,uniqueid6811
743,False,uniqueid6812
744,False,uniqueid6813
745,False,uniqueid6814
746,True,uniqueid6815
747,False,uniqueid6816
748,False,uniqueid6817
749,False,uniqueid6818
750,False,uniqueid6819
751,False,uniqueid6820
752,True,uniqueid6821
753,False,uniqueid6822
754,False,uniqueid6823
755,False,uniqueid6824
756,True,uniqueid6825
757,False,uniqueid6826
758,False,uniqueid6827
759,False,uniqueid6828
760,False,uniqueid6829
761,False,uniqueid6830
762,False,uniqueid6831
763,False,uniqueid6832
764,False,uniqueid6833
765,True,uniqueid6834
766,False,uniqueid6835
767,False,uniqueid6836
768,False,uniqueid6837
769,True,uniqueid6838
770,False,uniqueid6839
771,False,uniqueid6840
772,False,uniqueid6841
773,False,uniqueid6842
774,False,uniqueid6843
775,True,uniqueid6844
776,False,uniqueid6845
777,False,uniqueid6846
778,False,uniqueid6847
779,False,uniqueid6848
780,True,uniqueid6849
781,True,uniqueid6850
782,False,uniqueid6851
783,False,uniqueid6852
784,False,uniqueid6853
785,False,uniqueid6854
786,False,uniqueid6855
787,False,uniqueid6856
788,False,uniqueid6857
789,False,uniqueid6858
790,False,uniqueid6859
791,False,uniqueid6860
792,False,uniqueid6861
793,True,uniqueid6862
794,False,uniqueid6863
795,False,uniqueid6864
796,False,uniqueid6865
797,False,uniqueid6866
798,True,uniqueid6867
799,False,uniqueid6868
800,False,uniqueid6869
801,True,uniqueid6870
802,True,uniqueid6871
803,False,uniqueid6872
804,True,uniqueid6873
805,False,uniqueid6874
806,False,uniqueid6875
807,False,uniqueid6876
808,False,uniqueid6877
809,True,uniqueid6878
810,False,uniqueid6879
811,False,uniqueid6880
812,False,uniqueid6881
813,False,uniqueid6882
814,True,uniqueid6883
815,False,uniqueid6884
816,False,uniqueid6885
817,False,uniqueid6886
818,False,uniqueid6887
819,False,uniqueid6888
820,False,uniqueid6889
821,False,uniqueid6890
822,True,uniqueid6891
823,True,uniqueid6892
824,False,uniqueid6893
825,False,uniqueid6894
826,False,uniqueid6895
827,False,uniqueid6896
828,False,uniqueid6897
829,False,uniqueid6898
830,False,uniqueid6899
831,False,uniqueid6900
832,False,uniqueid6901
833,False,uniqueid6902
834,False,uniqueid6903
835,False,uniqueid6904
836,False,uniqueid6905
837,False,uniqueid6906
838,True,uniqueid6907
839,False,uniqueid6908
840,False,uniqueid6909
841,False,uniqueid6910
842,False,uniqueid6911
843,False,uniqueid6912
844,False,uniqueid6913
845,False,uniqueid6914
846,False,uniqueid6915
847,False,uniqueid6916
848,False,uniqueid6917
849,False,uniqueid6918
850,False,uniqueid6919
851,False,uniqueid6920
852,False,uniqueid6921
853,True,uniqueid6922
854,False,uniqueid6923
855,False,uniqueid6924
856,False,uniqueid6925
857,False,uniqueid6926
858,True,uniqueid6927
859,False,uniqueid6928
860,False,uniqueid6929
861,False,uniqueid6930
862,False,uniqueid6931
863,False,uniqueid6932
864,False,uniqueid6933
865,False,uniqueid6934
866,False,uniqueid6935
867,False,uniqueid6936
868,False,uniqueid6937
869,False,uniqueid6938
870,False,uniqueid6939
871,False,uniqueid6940
872,False,uniqueid6941
873,False,uniqueid6942
874,True,uniqueid6943
875,False,uniqueid6944
876,False,uniqueid6945
877,True,uniqueid6946
878,False,uniqueid6947
879,True,uniqueid6948
880,False,uniqueid6949
881,False,uniqueid6950
882,False,uniqueid6951
883,False,uniqueid6952
884,False,uniqueid6953
885,False,uniqueid6954
886,False,uniqueid6955
887,False,uniqueid6956
888,False,uniqueid6957
889,False,uniqueid6958
890,False,uniqueid6959
891,False,uniqueid6960
892,False,uniqueid6961
893,True,uniqueid6962
894,False,uniqueid6963
895,False,uniqueid6964
896,False,uniqueid6965
897,False,uniqueid6966
898,False,uniqueid6967
899,False,uniqueid6968
900,True,uniqueid6969
901,False,uniqueid6970
902,False,uniqueid6971
903,False,uniqueid6972
904,False,uniqueid6973
905,False,uniqueid6974
906,False,uniqueid6975
907,False,uniqueid6976
908,False,uniqueid6977
909,True,uniqueid6978
910,False,uniqueid6979
911,False,uniqueid6980
912,False,uniqueid6981
913,False,uniqueid6982
914,False,uniqueid6983
915,True,uniqueid6984
916,False,uniqueid6985
917,False,uniqueid6986
918,False,uniqueid6987
919,False,uniqueid6988
920,False,uniqueid6989
921,False,uniqueid6990
922,False,uniqueid6991
923,False,uniqueid6992
924,False,uniqueid6993
925,False,uniqueid6994
926,False,uniqueid6995
927,False,uniqueid6996
928,True,uniqueid6997
929,False,uniqueid6998
930,False,uniqueid6999
931,True,uniqueid7000
932,False,uniqueid7001
933,False,uniqueid7002
934,False,uniqueid7003
935,False,uniqueid7004
936,False,uniqueid7005
937,False,uniqueid7006
938,False,uniqueid7007
939,False,uniqueid7008
940,False,uniqueid7009
941,False,uniqueid7010
942,False,uniqueid7011
943,False,uniqueid7012
944,True,uniqueid7013
945,True,uniqueid7014
946,False,uniqueid7015
947,True,uniqueid7016
948,False,uniqueid7017
949,False,uniqueid7018
950,False,uniqueid7019
951,False,uniqueid7020
952,False,uniqueid7021
953,True,uniqueid7022
954,False,uniqueid7023
955,False,uniqueid7024
956,True,uniqueid7025
957,False,uniqueid7026
958,False,uniqueid7027
959,False,uniqueid7028
960,False,uniqueid7029
961,False,uniqueid7030
962,False,uniqueid7031
963,False,uniqueid7032
964,False,uniqueid7033
965,False,uniqueid7034
966,False,uniqueid7035
967,False,uniqueid7036
968,False,uniqueid7037
969,False,uniqueid7038
970,False,uniqueid7039
971,False,uniqueid7040
972,True,uniqueid7041
973,False,uniqueid7042
